Engine_speed_rpm,Engine_torque_Nm,Power_in_kW
1519.25,-6.615,-10.04983875
1512.25,-7.6,-11.4931
1518,-13.018,-19.761324
1512.25,-23.853,-36.07169925
1499.25,-34.688,-52.005984
1504.5,-34.688,-52.188096
1503.5,-34.688,-52.153408
1492,-35.18,-52.48856
1489.75,-35.18,-52.409405
1487.5,-35.18,-52.33025
1480,-35.18,-52.0664
1480.25,-35.18,-52.075195
1471.5,-35.18,-51.76737
1468.5,-35.18,-51.66183
1469.5,-35.18,-51.69701
1459.75,-35.18,-51.354005
1452.5,-35.18,-51.09895
1452.5,-2.675,-3.8854375
1456.25,13.577,19.77150625
1449.5,15.055,21.8222225
1452.75,20.472,29.740698
1458.75,27.86,40.640775
1511.5,35.74,54.02101
1558,44.112,68.726496
1617,45.59,73.71903
1576.5,49.53,78.084045
1545,60.365,93.263925
1581.25,61.35,97.0096875
1613.75,63.32,102.18265
1627.5,67.752,110.26638
1642.5,67.752,111.28266
